,HR,RMSSD,SD2/SD1,LF/HF,HF_nu
count,59.0,59.0,59.0,59.0,59.0
mean,0.7267723706059268,-0.4216907023622315,0.29002492342985053,0.1907634955425359,-0.2112395049115133
std,0.37692766482232337,0.4212951463418656,0.46046997025045033,0.41272173360234216,0.421324936052882
min,-0.6082167433314867,-0.9542533610722658,-0.7933698055474963,-0.6936906463830705,-0.8621628564557731
25%,0.727984900436879,-0.7647526006447605,-0.07325564167250277,-0.06513445582861475,-0.532895057154594
50%,0.8697992966777804,-0.47825663272406277,0.3736569555754774,0.26633705982054773,-0.2843502491062138
75%,0.9502550408768881,-0.209355010538312,0.6572742413256057,0.478205439526305,0.051846122327181866
max,0.9954448127864467,0.5313925910378791,0.9519005356771078,0.8920365998445227,0.7920447274225604
T_Statistic,12.487879551347678,-7.3134216817388324,4.728286547047539,3.455210709857252,-3.722327364540755
P_Value,4.414582937600614e-18,8.715997976014604e-10,1.4886763148453302e-05,0.0010347594728910446,0.0004481627317821815
